3,5177,3969
335964,6720,5174,3977
335965,6719,5179,3979
335966,6719,5168,3978
335967,6722,5180,3979
335968,6717,5172,3977
335969,6712,5176,3986
335970,6718,5176,3981
335971,6719,5175,3974
335972,6721,5174,3978
335973,6717,5175,3983
335974,6718,5172,3161
335975,6717,5175,4014
335976,6723,5176,3974
335977,6718,5172,3969
335978,6717,5174,3976
335979,6716,5174,3980
335980,6715,5176,3980
335981,6718,5178,3978
335982,6719,5174,3978
335983,6717,5175,3981
335984,6717,5177,3981
335985,6720,5173,3980
335986,6718,5180,3977
335987,6720,5175,3981
335988,6716,5175,3976
335989,6719,5176,3977
335990,6721,5177,3979
335991,6718,5170,3973
335992,6718,5180,3980
335993,6717,5175,3979
335994,6717,5165,4382
335995,6719,5173,4058
335996,6723,5177,3978
335997,6720,5175,3982
335998,6719,5174,3981
335999,6717,5173,3973
336000,6717,5173,3975
336001,6720,5176,3972
336002,6719,5171,3975
336003,6718,5174,3977
336004,6719,5178,3977
336005,6713,5169,3982
336006,6718,5175,3973
336007,6719,5172,3981
336008,6711,5171,3980
336009,6719,5178,3977
336010,6720,5175,3977
336011,6718,5174,3981
336012,6722,5177,3975
336013,6720,5173,3969
336014,6724,5176,3530
336015,6720,5173,3998
336016,6718,5171,3976
336017,6720,5175,3976
336018,6716,5174,3967
336019,6710,5173,3984
336020,6719,5175,3980
336021,6720,5177,3975
336022,6720,5175,3980
336023,6718,5173,3977
336024,6720,5174,3979
336025,6721,5176,3987
336026,6727,5175,3978
336027,6718,5176,3976
336028,6721,5177,3978
336029,6721,5177,3980
336030,6723,5168,3976
336031,6719,5174,3976
336032,6715,5176,3978
336033,6716,5177,3986
336034,6722,5174,3987
336035,6720,5174,3910
336036,6719,5176,3974
336037,6720,5175,3974
336038,6720,5178,3982
336039,6717,5177,3976
336040,6722,5175,3975
336041,6720,5172,3977
336042,6719,5173,3979
336043,6719,5173,3976
336044,6708,5172,3977
336045,6720,5174,3980
336046,6720,5173,3981
336047,6711,5171,3989
336048,6718,5174,3975
336049,6722,5175,3980
336050,6721,5172,3977
336051,6721,5173,3979
336052,6717,5177,3973
336053,6718,5176,3972
336054,6723,5173,3495
336055,6723,5173,3977
336056,6722,5175,3987
336057,6717,5173,3979
336058,6714,5176,3981
336059,6718,5174,3975
336060,6719,5175,3980
336061,6721,5178,3982
336062,6723,5179,3978
336063,6718,5173,3976
336064,6719,5171,3978
336065,6721,5176,3977
336066,6718,5170,3977
336067,6719,5173,3977
336068,6720,5174,3977
