720,5165,3971
637065,1820,5169,3976
637066,1822,5175,3977
637067,1818,5167,3967
637068,1822,5173,3982
637069,1819,5171,3978
637070,1807,5171,3981
637071,1819,5175,3976
637072,1818,5173,3975
637073,1824,5176,3977
637074,1824,5172,3976
637075,1822,5172,3971
637076,1820,5172,3972
637077,1820,5171,3973
637078,1820,5165,3969
637079,1820,5174,3974
637080,1819,5166,3983
637081,1819,5171,3980
637082,1819,5175,3978
637083,1818,5173,3974
637084,1821,5174,3974
637085,1820,5171,3978
637086,1823,5172,3979
637087,1797,5173,3975
637088,1816,5175,3975
637089,1814,5170,3977
637090,1822,5173,3976
637091,1818,5173,3981
637092,1821,5162,3971
637093,1815,5175,3982
637094,1806,5175,3977
637095,1843,5174,3977
637096,1823,5173,3977
637097,1809,5174,3977
637098,1821,5173,3975
637099,1823,5177,3980
637100,1816,5173,3969
637101,1831,5172,3972
637102,1824,5171,3974
637103,1820,5162,3968
637104,1817,5171,3975
637105,1829,5175,3975
637106,1820,5170,3979
637107,1800,5175,3978
637108,1818,5173,3976
637109,1819,5173,3976
637110,1818,5176,3975
637111,1827,5173,3967
637112,1818,5180,3977
637113,1827,5169,3982
637114,1830,5164,3968
637115,1822,5174,3979
637116,1817,5174,3977
637117,1819,5164,3980
637118,1820,5173,3978
637119,1831,5174,3982
637120,1823,5174,3982
637121,1827,5177,3984
637122,1809,5174,3980
637123,1812,5172,3980
637124,1825,5170,3977
637125,1818,5172,3969
637126,1820,5174,3978
637127,1819,5172,3981
637128,1817,5161,3985
637129,1831,5174,3979
637130,1816,5175,3974
637131,1817,5169,3982
637132,1820,5173,3975
637133,1828,5173,3980
637134,1819,5174,3979
637135,1822,5173,3981
637136,1817,5173,3977
637137,1827,5173,3978
637138,1801,5173,3975
637139,1822,5172,3969
637140,1825,5167,3426
637141,1819,5173,3971
637142,1820,5171,3969
637143,1819,5173,3978
637144,1818,5190,3980
637145,1820,5175,3977
637146,1817,5174,3977
637147,1822,5172,3978
637148,1820,5173,3977
637149,1819,5172,3980
637150,1824,5172,3980
637151,1821,5174,3972
637152,1821,5172,3976
637153,1820,5180,3967
637154,1819,5175,3979
637155,1840,5173,3974
637156,1817,5169,3984
637157,1822,5173,3983
637158,1826,5172,3981
637159,1824,5173,3977
637160,1821,5173,3971
637161,1822,5177,3979
637162,1819,5175,3978
637163,1800,5173,3976
637164,1825,5174,3967
637165,1824,5172,3985
637166,1826,5173,3974
637167,1820,5167,3976
637168,1821,5173,3977
637169,1823,5173,3981
637170,1821,5164,3983
637171,1815,5171,3985
637172,1814,5175,3982
637173,1819,5175,3980
637174,1817,5174,3982
637175,1819,5172,3975
637176,1819,5168,3979
637177,1818,5167,3982
637178,1819,5171,3970
637179,1822,5173,3977
637180,1819,5172,3985
637181,1821,5173,3979
637182,1823,5172,3978
637183,1817,5174,3976
637184,1819,5176,3978
637185,1821,5175,3980
637186,1820,5173,3980
637187,1822,5171,3979
637188,1798,5173,3980
637189,1827,5172,3966
637190,1817,5174,3975
637191,1819,5174,3974
637192,1828,5167,3986
637193,1833,5172,3982
637194,1821,5179,3975
637195,1820,5169,3974
637196,1821,5198,3982
637197,1811,5174,3977
637198,1821,5173,3975
637199,1822,5175,3976
637200,1819,5173,3979
637201,1820,5173,3981
637202,1809,5172,3976
637203,1818,5175,3975
637204,1819,5174,3971
637205,1822,5176,3979
637206,1821,5167,3976
637207,1820,5172,3975
637208,1818,5171,3969
637209,1816,5185,3975
637210,1828,5173,3977
637211,1821,5172,3983
637212,1819,5171,3972
637213,1816,5174,3975
637214,1832,5174,3976
637215,1817,5174,3980
637216,1821,5179,3981
637217,1827,5174,3980
637218,1819,5173,3981
637219,1817,5172,3972
637220,1818,5170,3976
637221,1820,5165,3985
637222,1819,5173,3975
637223,1823,5175,3979
637224,1820,5174,3983
637225,1817,5176,3978
637226,1818,5174,3977
637227,1821,5174,3979
637228,1817,5175,3974
637229,1804,5182,3979
637230,1824,5168,3981
637231,1816,5167,3976
637232,1817,5174,3980
637233,1824,5161,3979
637234,1812,5167,3978
637235,1817,5174,3978
637236,1802,5173,3978
637237,1820,5172,3979
637238,1826,5179,3978
637239,1821,5174,3976
637240,1817,5172,3975
637241,1838,5171,3981
637242,1819,5176,3974
637243,1833,5182,3975
637244,1825,5172,3979
637245,1816,5169,3975
637246,1822,5173,3975
637247,1819,5162,3978
637248,1823,5172,3975
637249,1819,5172,3970
637250,1841,5174,3982
637251,1827,5174,3980
637252,1823,5167,3984
637253,1817,5174,3971
637254,1818,5172,3979
637255,1819,5168,3975
637256,1818,5162,3971
637257,1817,5167,3979
637258,1821,5173,3979
637259,1818,5168,3972
637260,1801,5181,4697
637261,1816,5168,3971
637262,1815,5181,3975
637263,1820,5171,3980
637264,1825,5183,3976
637265,1819,5176,3974
637266,1823,5173,3978
637267,1819,5171,3974
637268,1822,5171,3983
637269,1813,5176,3979
637270,1817,5171,3971
637271,1822,5174,3972
637272,1818,5173,3979
637273,1819,5175,3979
637274,1810,5162,3980
637275,1821,5175,3979
637276,1819,5175,3981
637277,1815,5172,3981
637278,1819,5172,3979
637279,1819,5173,3980
637280,1820,5175,3987
637281,1827,5175,3976
637282,1822,5173,3978
